Sector,Year,Scenario Type,Mitigation Strategy,CH4 (kT/Year),,,,,,,,,,
Transport,2019,BAU,BAU,5.64,,,,,,,,,,
Transport,2030,BAU,BAU,9.79,,,,,,,,,,
Transport,2030,ALT 1,Electrification of bus fleet,8.20,,,,,,,,,,
Transport,2030,ALT 2,Vehicles scrappage policy,7.62,,,,,,,,,,
Transport,2030,ALT 3,Hydrogen blending in CNG,9.79,,,,,,,,,,
Transport,2030,ALT 4,EV Policy for all vehicles,7.22,,,,,,,,,,
Transport,2040,BAU,BAU,14.69,,,,,,,,,,
Transport,2040,ALT 1,Electrification of bus fleet,11.48,,,,,,,,,,
Transport,2040,ALT 2,Vehicles scrappage policy,8.78,,,,,,,,,,
Transport,2040,ALT 3,Hydrogen blending in CNG,14.00,,,,,,,,,,
Transport,2040,ALT 4,EV Policy for all vehicles,7.59,,,,,,,,,,
Transport,2047,BAU,BAU,16.69,,,,,,,,,,
Transport,2047,ALT 1,Electrification of bus fleet,12.61,,,,,,,,,,
Transport,2047,ALT 2,Vehicles scrappage policy,8.28,,,,,,,,,,
Transport,2047,ALT 3,Hydrogen blending in CNG,14.79,,,,,,,,,,
Transport,2047,ALT 4,EV Policy for all vehicles,6.61,,,,,,,,,,
Industry,2019,BAU,BAU,1.24,,,,,,,,,,
Industry,2030,BAU,BAU,1.34,,,,,,,,,,
Industry,2030,ALT 1,"Natural Gas 25%,50%,100%",1.42,,,,,,,,,,
Industry,2030,ALT 2,Boiler 30% reduction,1.21,,,,,,,,,,
Industry,2030,ALT 3,"Green Hydrogen 5%, 8%",1.21,,,,,,,,,,
Industry,2040,BAU,BAU,1.47,,,,,,,,,,
Industry,2040,ALT 1,"Natural Gas 25%,50%,100%",1.84,,,,,,,,,,
Industry,2040,ALT 2,Boiler 30% reduction,1.19,,,,,,,,,,
Industry,2040,ALT 3,"Green Hydrogen 5%, 8%",1.37,,,,,,,,,,
Industry,2047,BAU,BAU,1.60,,,,,,,,,,
Industry,2047,ALT 1,"Natural Gas 25%,50%,100%",2.88,,,,,,,,,,
Industry,2047,ALT 2,Boiler 30% reduction,1.15,,,,,,,,,,
Industry,2047,ALT 3,"Green Hydrogen 5%, 8%",1.15,,,,,,,,,,
Residential,2019,BAU,BAU,4.98,,,,,,,,,,
Residential,2030,BAU,BAU,3.74,,,,,,,,,,
Residential,2030,ALT 1,Adoption of improved biomass cookstoves,2.74,,,,,,,,,,
Residential,2030,ALT 2,"Adoption of improved cookstoves, biogas and solar cooking systems",1.18,,,,,,,,,,
Residential,2030,ALT 3,Phased Transition to solar cooking systems,0.84,,,,,,,,,,
Residential,2040,BAU,BAU,1.59,,,,,,,,,,
Residential,2040,ALT 1,Adoption of improved biomass cookstoves,1.22,,,,,,,,,,
Residential,2040,ALT 2,"Adoption of improved cookstoves, biogas and solar cooking systems",0.64,,,,,,,,,,
Residential,2040,ALT 3,Phased Transition to solar cooking systems,0.42,,,,,,,,,,
Residential,2047,BAU,BAU,0.35,,,,,,,,,,
Residential,2047,ALT 1,Adoption of improved biomass cookstoves,0.35,,,,,,,,,,
Residential,2047,ALT 2,"Adoption of improved cookstoves, biogas and solar cooking systems",0.35,,,,,,,,,,
Residential,2047,ALT 3,Phased Transition to solar cooking systems,0.34,,,,,,,,,,
Waste,2019,BAU,BAU,29.00,,,,,,,,,,
Waste,2030,BAU,BAU,66.56,,,,,,,,,,
Waste,2030,ALT 1,32% diversion,59.18,,,,,,,,,,
Waste,2030,ALT 2,40% diversion,49.40,,,,,,,,,,
Waste,2030,ALT 3,50% diversion,31.64,,,,,,,,,,
Waste,2030,ALT 4,60% diversion,25.55,,,,,,,,,,
Waste,2040,BAU,BAU,55.09,,,,,,,,,,
Waste,2040,ALT 1,32% diversion,44.03,,,,,,,,,,
Waste,2040,ALT 2,40% diversion,36.72,,,,,,,,,,
Waste,2040,ALT 3,50% diversion,21.83,,,,,,,,,,
Waste,2040,ALT 4,60% diversion,13.51,,,,,,,,,,
Waste,2047,BAU,BAU,30.20,,,,,,,,,,
Waste,2047,ALT 1,32% diversion,22.38,,,,,,,,,,
Waste,2047,ALT 2,40% diversion,20.48,,,,,,,,,,
Waste,2047,ALT 3,50% diversion,15.64,,,,,,,,,,
Waste,2047,ALT 4,60% diversion,10.19,,,,,,,,,,
Agriculture,2019,BAU,BAU,53.86,,,,,,,,,,
Agriculture,2030,BAU,BAU,56.77,,,,,,,,,,
Agriculture,2030,ALT 1,"Implementation of SRI, 5% AGR",45.89,,,,,,,,,,
Agriculture,2030,ALT 2,"Implementation of Natural Farming on SRI, 5% AGR",43.06,,,,,,,,,,
Agriculture,2030,ALT 3,"Combined ALT 1,2 + Crop Diversification (Rice to Non Rice), 5% AGR",41.77,,,,,,,,,,
Agriculture,2040,BAU,BAU,67.56,,,,,,,,,,
Agriculture,2040,ALT 1,"Implementation of SRI, 5% AGR",40.45,,,,,,,,,,
Agriculture,2040,ALT 2,"Implementation of Natural Farming on SRI, 5% AGR",35.67,,,,,,,,,,
Agriculture,2040,ALT 3,"Combined ALT 1,2 + Crop Diversification (Rice to Non Rice), 5% AGR",33.71,,,,,,,,,,
Agriculture,2047,BAU,BAU,74.00,,,,,,,,,,
Agriculture,2047,ALT 1,"Implementation of SRI, 5% AGR",38.29,,,,,,,,,,
Agriculture,2047,ALT 2,"Implementation of Natural Farming on SRI, 5% AGR",32.75,,,,,,,,,,
Agriculture,2047,ALT 3,"Combined ALT 1,2 + Crop Diversification (Rice to Non Rice), 5% AGR",29.31,,,,,,,,,,
Livestock,2019,BAU,BAU,186.85,,,,,,,,,,
Livestock,2030,BAU,BAU,326.08,,,,,,,,,,
Livestock,2030,ALT 1,Gausamvardhan (Selective Breed Control),318.05,,,,,,,,,,
Livestock,2030,ALT 2,Limited Gau Charan Bhumi (Limited Improved Fodder),205.44,,,,,,,,,,
Livestock,2030,ALT 3,Purna Gau Charan Bhumi (Fully Improved Fodder),183.77,,,,,,,,,,
Livestock,2040,BAU,BAU,583.96,,,,,,,,,,
Livestock,2040,ALT 1,Gausamvardhan (Selective Breed Control),569.57,,,,,,,,,,
Livestock,2040,ALT 2,Limited Gau Charan Bhumi (Limited Improved Fodder),367.91,,,,,,,,,,
Livestock,2040,ALT 3,Purna Gau Charan Bhumi (Fully Improved Fodder),328.52,,,,,,,,,,
Livestock,2047,BAU,BAU,1045.78,,,,,,,,,,
Livestock,2047,ALT 1,Gausamvardhan (Selective Breed Control),1020.02,,,,,,,,,,
Livestock,2047,ALT 2,Limited Gau Charan Bhumi (Limited Improved Fodder),658.87,,,,,,,,,,
Livestock,2047,ALT 3,Purna Gau Charan Bhumi (Fully Improved Fodder),588.34,,,,,,,,,,